dataset,backbone,condition,split_seed,finding,subgroup,metric,value,ci_lower,ci_upper
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex:male,fnr,0.49193429983666304,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.004253733873065102,-0.034202129816958186,0.04751647283816899
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.012552801058252017,0.008083864690181325,0.016677353714856437
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex:female,fnr,0.4760273972602739,,
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex:male,fnr,0.49511645321223796,,
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.019089055951964085,-0.06253676789914683,0.02506258056315783
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.013430205803806827,0.00586990020202322,0.02056326509344022
NIH,densenet121-res224-all,condition_3_agestd_ipw,1591287646.0,NIH_14_pooled,sex:female,fnr,0.4722432858732132,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1591287646.0,NIH_14_pooled,sex:male,fnr,0.48845358523045856,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1591287646.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.016210299357245384,-0.05995237853422665,0.027636589895573577
NIH,densenet121-res224-all,condition_3_agestd_ipw,1591287646.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.010551449209088126,0.006669106816494893,0.014372199475794389
NIH,densenet121-res224-all,condition_2_agestd_match,2763601433.0,NIH_14_pooled,sex:female,fnr,0.5268052543075086,,
NIH,densenet121-res224-all,condition_2_agestd_match,2763601433.0,NIH_14_pooled,sex:male,fnr,0.5081887463504356,,
NIH,densenet121-res224-all,condition_2_agestd_match,2763601433.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.018616507957072925,-0.024494681561028363,0.06372474390816274
NIH,densenet121-res224-all,condition_2_agestd_match,2763601433.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.01092308188402441,0.003584525553178213,0.019064109983538923
NIH,densenet121-res224-all,condition_3_agestd_ipw,2763601433.0,NIH_14_pooled,sex:female,fnr,0.5177334316013297,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2763601433.0,NIH_14_pooled,sex:male,fnr,0.5026877221569356,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2763601433.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.015045709444394095,-0.027243014056381926,0.05995896441047549
NIH,densenet121-res224-all,condition_3_agestd_ipw,2763601433.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.01449388039670324,0.010576900955061261,0.018375327897413536
NIH,densenet121-res224-all,condition_2_agestd_match,1524358342.0,NIH_14_pooled,sex:female,fnr,0.5439172866878008,,
NIH,densenet121-res224-all,condition_2_agestd_match,1524358342.0,NIH_14_pooled,sex:male,fnr,0.48786944578445834,,
NIH,densenet121-res224-all,condition_2_agestd_match,1524358342.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.05604784090334247,0.010524367802490027,0.09881592549253561
NIH,densenet121-res224-all,condition_2_agestd_match,1524358342.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.015108304314422172,0.006656880265957423,0.02350970511657027
NIH,densenet121-res224-all,condition_3_agestd_ipw,1524358342.0,NIH_14_pooled,sex:female,fnr,0.5395744408691022,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1524358342.0,NIH_14_pooled,sex:male,fnr,0.4803791231153201,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1524358342.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.05919531775378212,0.011544479161868123,0.10143760557589825
NIH,densenet121-res224-all,condition_3_agestd_ipw,1524358342.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.011960827463982526,0.006337815769603981,0.016868797649811383
